rt,subject,trial_type,size,probe,predicted,phon_sim,probe_phon_sim
2.79598999023438,64,OUT,8,N,0.5270535714285715,0.24197379131392774,0.2999799595308794
1.40496826171875,64,OUT,6,P,0.5608928571428572,0.2779327370459666,0.3367876570272817
1.39996337890625,64,OUT,4,B,0.5394642857142857,0.17820367723801736,0.12807048308619798
1.12677001953125,64,OUT,6,L,0.5361309523809523,0.44354580032507945,0.2824045318333193
1.30337524414062,64,IN,4,B,0.5189285714285714,0.3181478449190703,0.26698568897986824
1.3465576171875,64,IN,6,S,0.5363690476190477,0.1852478394181903,0.24963413248791255
1.23272705078125,64,IN,8,P,0.5137946428571429,0.2529042823185473,0.2665750576834913
0.859375,64,IN,8,T,0.5234821428571428,0.25567048795166036,0.29272712142077545
0.82861328125,64,IN,4,F,0.5513392857142857,0.22122504486493763,0.25
2.83816528320312,64,IN,6,N,0.5320833333333334,0.2895498769182,0.352722274998856
1.52932739257812,64,IN,4,L,0.49214285714285716,0.2940947403223142,0.3957393909147531
1.97262573242188,64,OUT,8,S,0.5295982142857143,0.213122844384025,0.3697082737855391
1.62350463867188,64,OUT,8,H,0.5358035714285714,0.309195617432565,0.1138354503153699
1.24404907226562,64,OUT,4,T,0.5307142857142857,0.42925348860486473,0.5920603073469731
1.5634765625,64,OUT,6,D,0.5301190476190475,0.1712456192722277,0.37029624336492367
1.19821166992188,64,OUT,6,S,0.5404166666666667,0.21453401477661918,0.42280763283906264
1.19821166992188,64,OUT,6,V,0.54625,0.2634477287128337,0.09622504486493764
1.52713012695312,64,OUT,8,C,0.5470535714285714,0.2666190135917367,0.20888728973419673
1.17422485351562,64,OUT,8,T,0.5500892857142857,0.31931956297443076,0.3532248570316032
1.1761474609375,64,OUT,8,R,0.5300892857142858,0.27282665781987864,0.3558816589683741
1.558349609375,64,IN,8,B,0.5220089285714287,0.27602645503776,0.3452832101034348
1.90304565429688,64,OUT,8,K,0.5221875,0.20688017036873255,0.11941772515768498
1.041748046875,64,IN,6,R,0.5397619047619048,0.18335909920286778,0.18580385659941961
1.42373657226562,64,OUT,4,P,0.545625,0.19718372093245481,0.14433756729740646
1.3829345703125,64,OUT,4,F,0.5149107142857142,0.3242307096565868,0.29930339887498947
1.139404296875,64,OUT,4,P,0.5139285714285714,0.24800564528543087,0.1666666666666667
3.10299682617188,64,IN,8,G,0.53,0.31657185626322965,0.40189128561205667
1.4259033203125,64,OUT,4,K,0.5458035714285715,0.27442872210295505,0.08333333333333336
1.3887939453125,64,OUT,6,F,0.5099404761904762,0.23987174742355447,0.22122504486493763
1.65145874023438,64,OUT,6,H,0.5423809523809524,0.29917835631819434,0.1036680779880244
1.62594604492188,64,OUT,8,Z,0.5310267857142857,0.27549167340352476,0.2714002258013891
1.30535888671875,64,OUT,4,H,0.5285714285714285,0.3035612008409864,0.07216878364870323
1.90924072265625,64,IN,8,V,0.5384375,0.2206043235094399,0.04761904761904763
1.3277587890625,64,IN,4,V,0.5469642857142857,0.21379379240612417,0.0
1.10565185546875,64,IN,4,R,0.5289285714285714,0.36557439282661736,0.23513749508237303
1.91415405273438,64,OUT,6,D,0.5432142857142858,0.2501191076452096,0.3221837209324548
1.1739501953125,64,OUT,4,R,0.5454464285714286,0.6210112905708617,0.2968045431860648
1.45126342773438,64,IN,4,S,0.5424107142857143,0.14433756729740646,0.1924500897298753
1.25979614257812,64,OUT,4,S,0.5203571428571427,0.3638440743601649,0.3120426656098907
1.65530395507812,64,IN,8,P,0.5214732142857144,0.27134706015763027,0.22533575274137516
1.1302490234375,64,IN,4,R,0.5047321428571429,0.2940947403223142,0.3957393909147531
